name,address,province,city,county_district,year,lng_wgs84,lat_wgs84
国家电网汽车充电站(百里山水画廊店),东囤路千家店朝阳寺景区地面停车场,北京市,北京市,延庆区,2025,116.327435518713401,40.690695417712440
国家电网汽车充电站(北京市延庆区乌龙峡谷景区),千沙公路地面停车场,北京市,北京市,延庆区,2025,116.453438570748702,40.696310382007447
国家电网汽车充电站(北京市门头沟区斋堂大街公安消防支队斋堂中队西),斋堂镇东斋堂村,北京市,北京市,门头沟区,2025,115.699653494838898,39.977106465696806
国家电网汽车充电站(北京市门头沟区爨底下景区),斋堂镇爨底下村停车场,北京市,北京市,门头沟区,2025,115.653949741351596,39.971028430695462
汽车充电站(西胡林服务区),西胡林东路与京拉线交叉口西420米,北京市,北京市,门头沟区,2025,115.739304505816705,39.982589112443222
汽车充电站(西胡林服务区),西胡林东路与京拉线交叉口西南480米,北京市,北京市,门头沟区,2025,115.740166901494803,39.980856031538771
国家电网汽车充电站(北京市门头沟区清水镇),清水镇上清水村,北京市,北京市,门头沟区,2025,115.607782939406704,39.942073848330530
国家电网汽车充电站(北京市门头沟区雁翅公路服务站),军庄镇西杨陀村军庄镇政府,北京市,北京市,门头沟区,2025,115.897082573870406,40.036166616331933
国家电网汽车充电站(北京市门头沟区十八潭景区),十八潭南侧休息区(龙门清水湾),北京市,北京市,门头沟区,2025,115.922013344198405,40.010436289596178
特来电汽车充电站(北京市房山区史家营乡人民政府充电站),X019北京市房山区史家营乡贾金路史家营乡人民政府,北京市,北京市,房山区,2025,115.665086317455803,39.858101162628692
